id,nombre
695,Detalles de construcción de edificios
696,Accesorios para construcción de edificios
697,"Técnicas de calefacción, ventilación y acondicionamiento de aire"
698,Decoración de edificios
700,ARTES Y RECREACIÓN
701,FILOSOFÍA Y TEORÍA
704,"ENSAYOS, CONFERENCIAS, DISCURSOS"
708,"GALERÍAS, MUSEOS Y COLECCIONES PARTICULARES"
709,HISTORIA DEL ARTE
710,ARQUITECTURA PAISAJISTA
711,Planeamiento regional y urbano
712,Tipos de diseño de arquitectura paisajista
713,Formación y conservación del paisaje
714,Temas acuáticos en arquitectura paisajista
715,"Árboles, arbustos y setos en arquitectura paisajista"
716,Plantas herbáceas o anuales en la arquitectura paisajista
717,Construcción en arquitectura paisajista
718,Planeamiento de cementerios
719,Planeaminero de reservaciones de tierras y preservación del paisaje natural
720,ARQUITECTURA
721,Construcción arquitectónica
722,Arquitectura antigua
723,Arquitectura medioeval
724,Arquitectura moderna
725,Edificios públicos
726,Arquitectura religiosa
727,Edificios de enseñanza
728,Arquitectura residencial
729,Diseños arquitectónicos y decoración
730,ESCULTURA
731,Métodos y material
732,Escultura antigua Escultura primitiva
733,Escultura clásica
734,Escultura medioeval
735,Escultura moderna
736,Talla de materiales especiales
737,Numismática
738,Escultura en cerámica
739,Escultura en metal
740,DIBUJO ARTE DECORATIVO
741,Dibujo a pulso
742,Perspectiva
743,Anatomía en el dibujo
744,Dibujo técnico
745,Arte decorativo y diseño
746,Encajes Tapices tranajos de aguja
747,Decoración de interiores
748,Cristalería
749,Muebles y accesorios
750,PINTURA
751,Métodos y material
752,Teoría y aplicación del color
753,Pintura épica
754,Pintura costumbrista
755,Pintura religiosa
756,Pintura histórica
757,Retratos
758,Otros temas en pintura
759,Historia de la pintura
760,GRABADO Y TÉCNICAS DE GRABADO
761,Grabado en relieve
762,Grabado en hueco (Intaglio) Granago en metal
763,Grabado en superficie plana
764,Cromolitografía
765,Grabado en línea Grabado a puntos
766,Aguatinta Mezzotinta
767,Aguafuerte Grabado a punta seca
768,Grabado mecánico
769,Colecciones de grabados
770,FOTOGRAFÍA
771,Material fotográfico
772,Procedimientos fotográficos con sales metálicas
773,Procedimientos fotográficos de pigmentación
778,Aplicaciones de la fotografía
779,Colecciones de fotografías
780,MÚSICA
781,Teoría y técnica de la música
782,Música operística Música para la escena
783,Música religiosa
784,Música vocal
785,Conjuntos instrumentales
786,Instrumentales de teclado
787,Instrumentos de cuerda
788,Instrumentos de viento
789,Instrumentos de percusión Instrumentos mecánicos
790,RECREACIÓN
791,Diversiones y espectáculos públicos
792,Teatro
793,Tertulias Otros entrenimientos
794,Juegos de habilidad
795,Juegos de cartas Juegos de mesa
796,Atletismo y deportes
797,Deportes acuáticos Deportes aéreos
798,Deportes hípicos Carreras
799,"Deportes de caza, de pesca, de tiro al blanco"
800,LITERATURA
804,ENSAYOS CONFERENCIAS DISCURSOS
808,COMPOSICIÓN LITERARIA RETÓRICA
808.8,COLECCIONES DE OBRAS DIVERSAS LITERATURAS ESCRITAS ORIGINALMENTE EN DIFERENTE IDIOMAS
809,HISTORIA DE LA LITERATURA
810,LITERATURA NORTEAMERICANA
819,LITERATURA CANADIENSE
820,LITERATURA INGLESA
830,LITERATURA ALEMANA
839,OTRAS LITERATURAS GERMÁNICAS
840,LITERATURA FRANCESA
849,LITERATURA PROVENZAL
849.9,LITERATURA CATALANA
850,LITERATURA ITALIANA
859,LITERATURA RUMANA
859.9,LITERATURA RETORROMANA
860,LITERATURA CASTELLANA
861,Poesía Épica
862,Teatro
863,Novela - Fábulas
864,Ensayos
865,Oratoria
866,Epístolas
867,Sátira y humorismo
869,LITERATURA PORTUGUESA
870,LITERATURA LATINA
871,Poesía
873,Poesía épica
875,Oratoria
876,Género epistolar
877,Sátira y humorismo
878,Miscelánea
879,"OTRAS LITERATURAS ITÁLICAS, LATINA MEDIOEVAL Y MODERNA (LATÍN ECLESIÁSTICO)"
880,LITERATURA GRIEGA
881,Poesía
882,Poesía dramática
883,Poesía épica
884,Poesía lírica
885,Oratoria
886,Género epistolar
887,Sátira y humorismo
888,Miscelánea
889,"GRUPO HELÉNICO, LITERATURA GRIEGA MODERNA"
890,LITERATURA DE OTRAS LENGUAS
891,Literaturas indoeuropeas
892,Literaturas  semíticas
893,Literatura camítica
894,"Literaturas  tungusa, mogola, turco tártara, samoyeda, ugro-finesa y literaturas hiperbóreas"
894.7,Literatura caucásica
894.8,Literatura dravítica
895,"Literaturas  chino-tibetana, japonesa-coreana, austroasiática"
896,Literaturas africanas
897,Literaturas indígenas de América del Norte
898,Literaturas indígenas de América del Sur
899,Literaturas austronesias
899.9,Otras literaturas
900,HISTORIA
909,HISTORIA MODERNA
910,GEOGRAFÍA
911,Geografía política e histórica
912,Atlases
913,Geografía del mundo antiguo
914,Geografía de Europa
915,Geografía de Asia
916,Geografía de Africa
917,Geografía de América del Norte
918,Geografía de América del Sur
919,Geografía de Oceanía y regiones polares
920,BIOGRAFÍAS
929,Genealogía y heráldica
930,HISTORIA ANTIGUA
932,Egipto antiguo
933,Civilización hebrea antigua
935,Historia del cercano oriente
936,Tribus europeas antiguas
937,Roma antigua
938,Grecia antigua
939,Otras civilizaciones antiguas
940,HISTORIA EUROPEA
941,Escocia
941.5,República Libre de Irlanda (EIRE)
941.6,Irlanda del Norte
942,Inglaterraa
942.9,Gales
943,Alemania
943.6,Austria
943.648,Lichtenstein
943.68,Trieste
943.7,Checoeslovaquia
943.8,Polonia
943.9,Hungría
944,Francia
944.949,Mónaco
945,Italia
945.4,San Marino
945.8,Malta
946,España
946.7,Andorra
946.8,Gibraltar Islas Canarias
946.9,Portugal
946.98,Madeira
946.99,Azores
947,Unión de Repúblicas Socialistas Soviéticas
947.1,Finlandia
947.2,República Socialista Soviéntica Carelofilandesa
947.3,República Socialista Ruso-Soviéntica Federal
947.4,República Socialista Soviéntica de Letonia
947.41,República Socialista Soviéntica de Estonia
947.5,República Socialista Soviéntica de Lituania
947.6,República Socialista Soviéntica de la Rusia blanca
947.7,República Socialista Soviéntica de Ucrania
947.9,República Socialista Soviéntica de Georgia
947.91,República Socialista Soviéntica de Adserbeiyán
947.92,República Socialista Soviéntica de Armenia
948,Escandinavia
949,Otros países europeos
950,HISTORIA DE ASIA
951,China
952,Japón
953,Arabia
954,India
954.1,Bután
954.2,Nepal
954.7,Pakistán
954.8,Ceilán
955,Irán
956,Cercano Oriente
957,Rusia Soviética en Asia
958,Asia Central del Sur
959,Indochina Francesa
959.1,Unión de Birmania
959.3,Tailandia (Siam)
959.5,Federación malaya
959.52,Singapur
960,HISTORIA DE AFRICA
961,Africa del Norte
962,   Egipto
963,   Etiopía
963.5,   Africa Oriental Italiana
964,   Marruecos
965,   Argelia
966,Africa Central del Norte
967,Africa Central del Sur
968,Africa del Sur
969,Islas del Océano Indico
970,HISTORIA DE AMERICA DEL NORTE
971,Canadá
972,México
972.8,América Central
972.9,Islas Occidentales Antillas
973,Estados Unidosa de Norteamérica
974,Estados del Nordeste
975,Estados del Sudeste
976,Estados Centrales del Sur o del Golfo
977,Estados Centrales del Norte o de los Lagos
978,Estados del Oeste o Montañosos
979,Estados del Pacífico
980,HISTORIA DE AMÉRICA DEL SUR
981,Brasil
982,Argentina
983,Chile
984,Bolivia
985,Perú
986.1,Colombia
986.2,Panamá
986.3,Canal de Panamá y Zona del Canal
986.6,Ecuador
987,Venezuela
988,Guayanas
989.2,Paraguay
989.5,Uruguay
990,HISTORIA DE OCEANÍA
991,Indonesia
992,Islas de la Sonda
993,Nueva Zelandia Melanesia
994,Australia
995,Papua Nueva Guinea
996,Polinesia Micronesia
997,Islas Pelágicas
998,Región Ártica
999,Región Antártica
518,Funciones especiales - Ecuaciones Diferenciales
536,Calor - Termodinámica
539,"Física molecular, nuclear, atómica - Mecánica Cuántica"
537,Electricidad y magnetismo. Teoría Electrodinámica
511,Aritmética - Teoría de Conjuntos - Cálculo Proposicional
872,Poesía dramática
874,Poesía lírica
391,"Vestimenta y accesorios Cuidado del aspecto personal,"
531,Mecánica de los sólidos - Mecánica Newtoniana - Mecánica Clásica
868,Miscelánea - Conversaciones
152,Sensación Percepción Psicología de Masas
