id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
862 M65b,"Burlador de Sevilla, El - Condenado por Desconfiado, El","Molina, Tirso de","Salvat Editores, S.A.",208,-,1,f,081B
863.9 V23u,"Utopía Incaica, La","Vega, Garcilaso de la","Salvat Editores, S.A.",168,-,1,f,080B
863 V45m,"Muerte de una Dama, La","Villalonga, Lorenzo","Salvat Editores, S.A.",134,-,1,f,079B
888 P58v,Vidas Paralelas,Plutarco,"Salvat Editores, S.A.",200,-,1,f,078B
891.3 G63t,Taras Bulba,"Gógol, Nikolai Vasílievich","Salvat Editores, S.A.",142,-,1,f,077B
823 C17m,Mister Johnson,"Cary, Joyce","Salvat Editores, S.A.",214,-,1,f,076B
833 E41c,Cuentos del Romanticismo Alemán,"Eichendorff, Joseph Baron von…","Salvat Editores, S.A.",168,-,1,f,073B
891.3 N11p,Pnin,"Nabokov, Vladimir","Salvat Editores, S.A.",152,-,1,f,072B
863 C11g,"Gaviota, La","Caballero, Fernán","Salvat Editores, S.A.",230,-,1,f,071B
861 C78g,Grandes Poetas de Hispanoamérica,"Cruz, Sor Juana Inés","Salvat Editores, S.A.",200,-,1,f,070B
813 L66l,"Llamado del Bosque y Otros Cuentos, El","London, jack","Salvat Editores, S.A.",158,-,1,f,069B
863 A81v,Vida y Obra de Luis Álvarez Petreña,"Aub, max","Salvat Editores, S.A.",216,-,1,f,068B
899.93L19p,Paraíso Reclamado,"Laxness, Halldor","Salvat Editores, S.A.",218,-,1,f,067B
833 B65t,"Tren Llegó Puntual, El","Böll, Heinrich","Salvat Editores, S.A.",130,-,1,f,065B
813 H19l,"Letra Escarlata, La","Hawthorne, Nathaniel","Salvat Editores, S.A.",206,-,1,f,064B
863 G17s,Su Único Hijo,"García-Alas Ureña, Leopoldo Enrique (Clarín)","Salvat Editores, S.A.",220,-,1,f,063B
843 M18 b,Bola de Sebo y Otros Relatos,"Maupassant, Guy de","Salvat Editores, S.A.",176,-,1,f,062B
701 O54i,"Impresionistas, Los","Olivar, Marcial","Salvat Editores, S.A.",142,-,1,f,061B
C865 V15p,Páginas Inmortales de Guillermo Valencia,"Valencia, Guillermo",Instituto Colombiano de Cultura,168,-,1,f,-01C
