id,titulo,autor,editorial,pags,isbn,ejemplares,leido,db_id
843 M19b,Bola de Sebo,"Maupassant, Guy de",Instituto Colombiano de Cultura,84,-,1,f,450.0
C863 C11a,"Almirante Niño y Otros Cuentos, El","Caballero Calderón, Eduardo",Instituto Colombiano de Cultura,128,-,1,f,451.0
891.3 P88 h,"Hija del Capitán, La","Pushkin, Alejandro Sergievich",Editorial Prensa Moderna,88,-,1,f,452.0
C861 C11s,Siervo sin Tierra,"Caballero Calderón, Eduardo",-,200,-,1,f,453.0
C863 C61d,Derrumbes,"Cocherín, Iván",Al Revés,116,-,1,f,454.0
C868 A74e,Escritos,"Arias mejía, Emilio",-,262,-,1,f,455.0
808 T13h,"Hombre que Calculaba, El","Tahan, Malba",-,256,-,1,f,456.0
986.103 F67h,"Heroínas Olvidadas de la Independencia, Las","Forero, Paulo E.",Instituto Colombiano de Cultura,168,-,1,f,457.0
923 D25h,Hermógenes Maza,"Delgado Nieto, Carlos",Instituto Colombiano de Cultura,192,-,1,f,458.0
986.11 D25h1,Historias y Leyendas de Cartagena I,"Delgado, Camilo S.",Instituto Colombiano de Cultura,88,-,1,f,459.0
C861 B66p,Poemas al Padre. Antología,"Bonilla Naar, Alfonso",Instituto Colombiano de Cultura,88,-,1,f,460.0
C862 Z17t,Teatro,"Zapata Olivella, Manuel…",Instituto Colombiano de Cultura,72,-,1,f,461.0
V863 U85c,Cuentos Venezolanos. Antología II,"Uslar Pietri, Arturo",Instituto Colombiano de Cultura,190,-,1,f,462.0
C861 R28g,"Gran Crónica de Julio Florez, La","Restrepo Duque, Hernán",Instituto Colombiano de Cultura,128,-,1,f,463.0
574 A66c,Curiosidades de los Seres Vivos,Anónimo,Instituto Colombiano de Cultura,88,-,1,f,464.0
C863 A59b,"Boba y el Buda, La","Álvarez Gardeazábal, Gustavo",Instituto Colombiano de Cultura,124,-,1,f,465.0
833 G62s,"Sufrimientos del Joven Werther, Los","Goethe, Johann Wolfgang",Instituto Colombiano de Cultura,216,-,1,f,466.0
839.8136 A62d,Diez Cuentos Famosos,"Andersen, Hans Christian",Instituto Colombiano de Cultura,190,-,1,f,467.0
C863 C27c,"Casa Grande, La","Cepeda Samudio, Álvaro",Instituto Colombiano de Cultura,128,-,1,f,468.0
C861 F56s,Selección de Poemas,"Florez, Julio",Instituto Colombiano de Cultura,104,-,1,f,469.0
P863 A77c,Cuentos Panameños. Antología II,"Arroyo, Justo…",Instituto Colombiano de Cultura,120,-,1,f,470.0
070 M26c,Cruz y Raya,"Mendoza Varela, Eduardo",Instituto Colombiano de Cultura,142,-,1,f,471.0
398.6 P46d,Dichos y Refranes Oídos en Colombia,"Pinzón, Carlos Ernesto…",Instituto Colombiano de Cultura,104,-,1,f,472.0
C863 F82e,"El Doctor Afuera, Con","Félix Fuenmayor, José",Instituto Colombiano de Cultura,136,-,1,f,473.0
923 D25j,José Padilla. Estampa de un Almirante,"Delgado Nieto, Carlos",Instituto Colombiano de Cultura,112,-,1,f,474.0
808 D41c,Cambam Balí,"Díaz Díaz, Oswaldo",Instituto Colombiano de Cultura,102,-,1,f,475.0
986 D25h2,Historias y Leyendas de Cartagena II,"Delgado, Camilo S.",Instituto Colombiano de Cultura,80,-,1,f,476.0
C861 S45a,Antología de Verso y Prosa,"Silva, José Asunción",Instituto Colombiano de Cultura,112,-,1,f,477.0
C862 R29v,"Viejos baúles Empolvados Que Nuestros Padres Nos Prohibieron Abrir, Los","Reyes, Carlos José",Instituto Colombiano de Cultura,96,-,1,f,478.0
986 V15c,Cita de los Aventureros,"Vallejo, Alejandro",Instituto Colombiano de Cultura,152,-,2,f,479.0
843 B15b2,"Búsqueda de lo Absoluto II, La","Balzac, Honorato de",Instituto Colombiano de Cultura,176,-,1,f,480.0
986.102 F67n,Narraciones Históricas Curiosas,"Forero, Manuel José",Instituto Colombiano de Cultura,128,-,1,f,481.0
A861 H27g,"Gaucho Martín Fierro, El","Hernández, José",Instituto Colombiano de Cultura,112,-,1,f,482.0
B869.3 A66c,Cuentos Brasileños. Selección,"Assis, Machado de",Instituto Colombiano de Cultura,168,-,1,f,483.0
986.102 M66e,Estampas Españolas,"Montezuma Hurtado, Alberto",Instituto Colombiano de Cultura,136,-,1,f,484.0
843 P76c,Crónicas,"Proust, Marcel",Instituto Colombiano de Cultura,72,-,1,f,485.0
923 M66c1,"Criolla Policarpa Salavarrieta I, La","Montoya de Umaña, Enriqueta",Instituto Colombiano de Cultura,144,-,1,f,486.0
923 M66c2,"Criolla Policarpa Salavarrieta II, La","Montoya de Umaña, Enriqueta",Instituto Colombiano de Cultura,136,-,1,f,487.0
863 P17a,"Animales Cautivos, Los - Oficios Infantiles, Los","Paredes Pardo, Jaime",Instituto Colombiano de Cultura,80,-,1,f,488.0
C868 P27h,"Haciendas de la Sabana a Vuela Pluma, Las","Perdomo E., José Ignacio",Instituto Colombiano de Cultura,152,-,1,f,489.0
923 J17v,Vida de Porfirio Barba Jacob,"Jaramillo Meza, Juan B.",Instituto Colombiano de Cultura,160,-,1,f,490.0
C862 D41b,"Blondinette - Gaitana, La",Díaz Díaz Oswaldo,Instituto Colombiano de Cultura,152,-,1,f,491.0
Pe863 L67c,Cuentos Peruanos. Antología,"López Albújar, Enrique",Instituto Colombiano de Cultura,176,-,1,f,492.0
923 L69m,Mis Contemporáneos,"Lozano y Lozano, Juan",Instituto Colombiano de Cultura,176,-,1,f,493.0
361.5 M86l,Lucha Contra el Hambre,"Muñoz Quevedo, Josue",Instituto Colombiano de Cultura,104,-,1,f,494.0
863 C27i1,"Ingenioso Hidalgo Don Quijote de la Mancha I, El","Cervantes Saavedra, Miguel de",Instituto Colombiano de Cultura,216,-,1,f,495.0
701 M66q,¿Qué es arte?,"Montaña, Antonio",Instituto Colombiano de Cultura,96,-,1,f,496.0
C861 G72s,Selección de Poemas,"Greiff, León de",Instituto Colombiano de Cultura,128,-,1,f,497.0
822 S31 h,Hamlet,"Shakespeare, William",Instituto Colombiano de Cultura,232,-,1,f,498.0
E863 I11 c,Cuentos Ecuatorianos II,"Icaza, Jorge",Instituto Colombiano de Cultura,128,-,1,f,499.0
917.081 G17r,Rastro de América,"García Peña, Roberto",Instituto Colombiano de Cultura,128,-,1,f,500.0
301.153 C45h,Hombre en el Mundo de la Máquinas,CIMPEC - O.E.A.,Instituto Colombiano de Cultura,96,-,1,f,501.0
C861 H69c,Cantos Intemporales,"Hoyos Parra, Dorian",Al Revés,98,-,1,f,502.0
C863 B94o,"Otra Gente, La","Buitrago, Fanny",Instituto Colombiano de Cultura,192,-,1,f,503.0
833 S13g,Guillermo Tell,"Schiller, Federico",Instituto Colombiano de Cultura,112,-,1,f,504.0
C863 C17c,Cuentos Colombianos. Antología,"Carrasquilla, Tomás",Instituto Colombiano de Cultura,200,-,1,f,505.0
808 C17c,Cantos a Bolívar. Antología,"Carranza, Eduardo",Instituto Colombiano de Cultura,208,-,1,f,506.0
